Title,Subtitle,Time Length (mins)
Write 3 sentences,"Write three sentences. They can be as long or as short as you like, but try to make them more than simple descriptive sentences.",5
Call up a shop to ask them if they're open,"Find the number of a random shop in the country that speaks the language you're learning. (TIP: Use something like Yelp to find a number). Call them up on your phone (or using Skype) and ask them if they're open. Bonus: if they are open, find out when they close. Say thank you and end the call.",5
Translate something from social media,Go on Twitter or Facebook and find a single tweet or post. Translate it into English and post the translation with a link to the original.,5
Watch a short news summary,"Visit YouTube and search for ""[your language] news summary"". Ideally, translate it into your language before you search. They should usually be 3-5 minutes long.",
Send a message to a friend on Whatsapp,Send a short message or few messages to a friend via Whatsapp / Signal or whatever you use. Tell them what you’re up to. Perhaps ask a question or two.,
Book an iTalki session,"Half of the challenge learning to speak a language is getting over the fear of actually talking to someone else. So head over to iTalki to book a session right now. It’ll take a few minutes to pick a time, so this is time well spent.",
Record a video of yourself speaking your language,"Pick a topic, perhaps from this list (iteslj.org/questions/), and record yourself talking about that topic for 3 or 4 minutes. Try to keep speaking, regardless of whether you stumble or forget a word. BONUS: Watch the video back and make a note of things you notice you want to improve or look up as a result.",
Write today’s to-do list using pen/paper,"Write down the list of things you need to get done today, only instead of using your mother tongue language, use the language you’re studying. If you need to look up any words, do so quickly. Try to finish writing up the list (in some shape or form) within the 5 minutes allocated.",
Describe the room in which you’re sitting,"Talk out loud — to yourself, or whoever you’re sitting with — and describe all the different objects, colours and features of the room or location in which you’re sitting. If you don’t know a specific word, try to describe it in another roundabout way that doesn’t require you to lapse into your mother-tongue language. BONUS: Make a note of any words you’d like to look up in a dictionary.",
Correct a short post or two on Lang-8,"Lang-8 is a site where you can get corrections on things you write. It works on an honour-basis, where others correct your sentences and you correct the things they write (in your own mother-tongue language). This task gives you a karma point. Correct someone else’s entry now and you’ll get more corrections of your own.",
Teach a grammatical feature,Find a friend (or willing accomplice) and teach them a grammatical feature of the language you’re learning. Make sure it’s small enough that you can potentially explain it within 5 minutes.,
Write a message to a teacher,"If you’ve been studying for a year or two, you’ve probably worked with at least one teacher. Send them an email or message in the language you’re studying. Let them know what you’re up to and what kinds of things you’re studying at the moment.",
Set up a language-learning log,Create a new spreadsheet file or open a new physical paper notebook and get it ready for you to log how you’re spending your time studying. Being able to look back on what you did is really important over the longer term.,
Skim the top headlines on a news website,Open up a news site that uses the language you’re studying. Skim the top headlines and figure out what’s happening in the world. BONUS: Tell a friend what you learned from your 5 minutes of news browsing.,
Reply to someone on social media,"Find a tweet, Instagram or Facebook post written in the language you’re studying. Read it and reply back in the language you’re studying.",
Watch a song on YouTube,"Find a song in your target language, listen to the lyrics as you watch. Perhaps turn on the subtitles if the words are hard to distinguish. Try to figure out what the song is about. BONUS: Look up the lyrics afterwards and take a shot at reading them more closely.",
Listen to a poem being recited,"Find a poem being recited in your target language. YouTube is probably the best place to find these. Try to understand the gist of the poem. Bear in mind that poetry is much harder to understand than prose, so don’t worry if you find this hard.",
Learn a proverb / saying,"Find a proverb or saying in your target language. Textbooks or online sites are good places to find these. Figure out the translation and then learn that proverb. BONUS: Think about contexts, situations or conversations where you might be able to use this saying.",
Brainstorm connect words,Think of a starter word or topic (anything will do). Write that word or topic in the centre of a blank piece of paper. Then write related / connected words on the rest of the paper. Connect them together with lines like on a mindmap. Use only your target language.,
Get some vocabulary context,"Think of a random word or connector particle or verb in your target language. Do a search for that word in Google News and Context Reverso (if your language is supported). Read the sentences that show up, making a note of the particular contexts in which that word or phrase is used.",
Do a grammar drill,"Pick a verb. See how quickly you can recall / say all the conjugations out loud, in as many tenses as you are able. If your language has noun and adjective declensions as well, run through those.",
Name all the parts of your body,"Starting with your feet, go through all the parts of your body, pointing at them along the way. Say the correct word for each part in your target language. Make a note of which ones you don’t know. If you are comfortable with this already, be more specific: instead of just ‘leg’, say shin, knee and thigh (etc).",
Call up a shop to ask them if they have any products on sale,Find the number of a random shop in the country that speaks the language you're learning. (TIP: Use something like Yelp to find a number). Call them up on your phone (or using Skype) and ask them if they have any items on sale. Ask what they would recommend. Say thank you and end the call.,
Read the summary section of a random Wikipedia page,"Visit https://meta.wikimedia.org/wiki/List_of_Wikipedias, pick the wiki in your language of study, then on the left hand side find a “random article”. Read the summary section at the top and figure out the gist of what it is saying.",
Read any random text you have near you,Read for 5 minutes in any random text you have near you or on your computer / phone. BONUS: Highlight or mark any words you don’t understand.,
Change your phone / computer’s operating system to your target language,Go into the settings and switch your computer over into the language that you’re studying. Note that this may be more challenging for languages with character-pictographic-based written systems.,
Change your most used web services to your target language,"Think Twitter, Facebook and so on. Go into the settings and change them over to your target language so that all the menu options are no longer in the default (i.e. most likely English).",
Ask someone for directions when walking around,"If you’re living in a place where your language of study is spoken, stop someone on the street and ask them how to get to a particular place. It doesn’t matter if you already know how to get there, or can figure out with Google Maps. The point is to have a conversation with a stranger.",
Prepare 3 things you can say to a taxi driver next time you’re taking a cab,Think of three topics that you can discuss with a taxi driver next time you have to take a journey with a taxi. Think of what words would come up in conversation about those three topics. Think what kinds of questions (s)he might ask in response.,
Study using Bliubliu,"Bliubliu is a great site for getting some quick reading practice. (If you don’t already have an account, take the 5 minutes to get set up). Pick a topic and let Bliubliu give you short texts. Click the words you know so it knows what level you’re at.",
Write a short poem,Write a short poem of a few lines. It can be about anything. Just get writing. Don’t spend too much time thinking about this one. The point is to write and use your language.,
Study using Readlang,"Readlang is a service that allows you to read longer texts, look up words and test yourself on the new words you learnt while reading. (If you don’t already have an account, take the 5 minutes to get set up). Pick a text (either an article you found online, or use the service’s own library to suggest a text).",
Tell a story,"Talk for 5 minutes without stopping. The challenge is to keep going, to keep making variations on what you’re saying, to keep using connector words and phrases. Tell a story about something that happened to you, or maybe explain something that happened years ago. Keep talking.",
Shadow an audio-transcript recording,"Find a site where you can listen to audio recordings alongside transcripts. (News sites are probably your best bet for finding these, and some even have special sections for learners of those languages). Shadow the audio out loud, simultaneously alongside the transcript. Try to keep up with the recording and mimic their intonation.",
Learn about a well-known figure,Research the biography of a well-known figure from the culture or history of the country/people who speak your target language. Use original-language materials. Get the outline of their life story. Start with local-language wikipedia.,
Zero out your Anki,"If you don’t know what Anki is, start here: https://alexvermeer.com/anki-essentials/. If you’re using it already, take these 5 minutes to make progress zeroing out your Anki words for review today.",
Review your language-learning notebook,"If you don’t have a physical notebook, get one. Write down words you want to know in your target language, words you didn’t understand while watching TV and so on. Review the things you’ve written down during the past week. Add any new words to Anki.",
Play a round or two of pictionary / charades using your target language,"This requires multiple speakers of your target language, but if you have a group around you, get someone to mime a topic, name of a film or book and try guessing what it is using only your target language. Time yourself.",
Write a paragraph of text (no repetition edition),"Write a paragraph of text without using the same word twice. This is very hard to do in practice, even using your mother-tongue. Try not to think too much, though, and keep writing.",
Write a paragraph of text (last-letter edition),"Write a paragraph of text in which the last letter of the previous word determines the first letter of the next word. This is harder than it sounds. Try not to think too much, though, and keep writing.",
Read something written over 100 years ago,Find something written in your target language that was written over 100 years ago. Notice how the language is different from the kinds of things you read online. Notice any similarities. Enjoy this mental time-travel experience!,
Read something written over 1000 years ago,"If your language is old enough, find something written in your target language that was written over 1000 years ago. Notice how the language is different from the kinds of things you read online. Notice any similarities. Enjoy this mental time-travel experience!",
Talk to fellow language learner,"Find a friend studying the same language as you, someone at a similar competency level. Have a conversation with them.",
Take a photo and write a caption,Write a caption using your target language. Try to really flex your language muscles. Don’t settle for a brief or purely descriptive caption.,
Send a birthday wish,Go on Facebook and look at list of your friends’ birthdays. Send birthday wishes to your friend using your target language.,
,,
,,
,,
,,
,,
,,
