title,subtitle
"Write 3 sentences","Write three sentences. They can be as long or as short as you like, but try to make them more than simple descriptive sentences."
"Call up a shop to ask them if they're open","Find the number of a random shop in the country that speaks the language you're learning. (TIP: Use something like Yelp to find a number). Call them up on your phone (or using Skype) and ask them if they're open. Bonus: if they are open, find out when they close. Say thank you and end the call."
"Translate something from social media","Go on Twitter or Facebook and find a single tweet or post. Translate it into English and post the translation with a link to the original."
"Watch a short news summary","Visit YouTube and search for ""[your language] news summary"". Ideally, translate it into your language before you search. They should usually be 3-5 minutes long."
"Send a message to a friend on Whatsapp","Send a short message or few messages to a friend via Whatsapp / Signal or whatever you use. Tell them what you're up to. Perhaps ask a question or two."
"Book an iTalki session","Half of the challenge learning to speak a language is getting over the fear of actually talking to someone else. So head over to iTalki to book a session right now. It'll take a few minutes to pick a time, so this is time well spent."
"Record a video of yourself speaking your language","Pick a topic, perhaps from this list (iteslj.org/questions/), and record yourself talking about that topic for 3 or 4 minutes. Try to keep speaking, regardless of whether you stumble or forget a word. BONUS: Watch the video back and make a note of things you notice you want to improve or look up as a result."
"Write today's to-do list using pen/paper","Write down the list of things you need to get done today, only instead of using your mother tongue language, use the language you're studying. If you need to look up any words, do so quickly. Try to finish writing up the list (in some shape or form) within the 5 minutes allocated."
"Describe the room in which you're sitting","Talk out loud - to yourself, or whoever you're sitting with - and describe all the different objects, colours and features of the room or location in which you're sitting. If you don't know a specific word, try to describe it in another roundabout way that doesn't require you to lapse into your mother-tongue language. BONUS: Make a note of any words you'd like to look up in a dictionary."
"Correct a short post or two on Lang-8","Lang-8 is a site where you can get corrections on things you write. It works on an honour-basis, where others correct your sentences and you correct the things they write (in your own mother-tongue language). This task gives you a karma point. Correct someone else's entry now and you'll get more corrections of your own."
"Teach a grammatical feature","Find a friend (or willing accomplice) and teach them a grammatical feature of the language you're learning. Make sure it's small enough that you can potentially explain it within 5 minutes."
"Write a message to a teacher","If you've been studying for a year or two, you've probably worked with at least one teacher. Send them an email or message in the language you're studying. Let them know what you're up to and what kinds of things you're studying at the moment."
"Set up a language-learning log","Create a new spreadsheet file or open a new physical paper notebook and get it ready for you to log how you're spending your time studying. Being able to look back on what you did is really important over the longer term."
"Skim the top headlines on a news website","Open up a news site that uses the language you're studying. Skim the top headlines and figure out what's happening in the world. BONUS: Tell a friend what you learned from your 5 minutes of news browsing."
"Reply to someone on social media","Find a tweet, Instagram or Facebook post written in the language you're studying. Read it and reply back in the language you're studying."
"Watch a song on YouTube","Find a song in your target language, listen to the lyrics as you watch. Perhaps turn on the subtitles if the words are hard to distinguish. Try to figure out what the song is about. BONUS: Look up the lyrics afterwards and take a shot at reading them more closely."
"Listen to a poem being recited","Find a poem being recited in your target language. YouTube is probably the best place to find these. Try to understand the gist of the poem. Bear in mind that poetry is much harder to understand than prose, so don't worry if you find this hard."
"Learn a proverb / saying","Find a proverb or saying in your target language. Textbooks or online sites are good places to find these. Figure out the translation and then learn that proverb. BONUS: Think about contexts, situations or conversations where you might be able to use this saying."
"Brainstorm connect words","Think of a starter word or topic (anything will do). Write that word or topic in the centre of a blank piece of paper. Then write related / connected words on the rest of the paper. Connect them together with lines like on a mindmap. Use only your target language."
"Get some vocabulary context","Think of a random word or connector particle or verb in your target language. Do a search for that word in Google News and Context Reverso (if your language is supported). Read the sentences that show up, making a note of the particular contexts in which that word or phrase is used."
"Do a grammar drill","Pick a verb. See how quickly you can recall / say all the conjugations out loud, in as many tenses as you are able. If your language has noun and adjective declensions as well, run through those."
"Name all the parts of your body","Starting with your feet, go through all the parts of your body, pointing at them along the way. Say the correct word for each part in your target language. Make a note of which ones you don't know. If you are comfortable with this already, be more specific: instead of just ‘leg', say shin, knee and thigh (etc)."
"Call up a shop to ask them if they have any products on sale","Find the number of a random shop in the country that speaks the language you're learning. (TIP: Use something like Yelp to find a number). Call them up on your phone (or using Skype) and ask them if they have any items on sale. Ask what they would recommend. Say thank you and end the call."
"Read the summary section of a random Wikipedia page","Visit https://meta.wikimedia.org/wiki/List_of_Wikipedias, pick the wiki in your language of study, then on the left hand side find a ""random article"". Read the summary section at the top and figure out the gist of what it is saying."
"Read any random text you have near you","Read for 5 minutes in any random text you have near you or on your computer / phone. BONUS: Highlight or mark any words you don't understand."
"Change your phone / computer's operating system to your target language","Go into the settings and switch your computer over into the language that you're studying. Note that this may be more challenging for languages with character-pictographic-based written systems."
"Change your most used web services to your target language","Think Twitter, Facebook and so on. Go into the settings and change them over to your target language so that all the menu options are no longer in the default (i.e. most likely English)."
