"Write 15 sentences","Write five sentences. They can be as long or as short as you like, but try to make them more than simple descriptive sentences."
"Read a random wikipedia page in your target language","Visit https://meta.wikimedia.org/wiki/List_of_Wikipedias, pick the wiki in your language of study, then on the left hand side find a ""random article"". Read the page for 15 minutes to understand the contents. Spend the final 15 minutes writing a summary of what you learned, or tell a friend."
"Read any random text you have near you","Read for 30 minutes in any random text you have near you or on your computer / phone. BONUS: Highlight or mark any words you don't understand."
"Study using Bliubliu","Bliubliu is a great site for getting some quick reading practice. (If you don't already have an account, take the 30 minutes to get set up). Pick a topic and let Bliubliu give you short texts. Click the words you know so it knows what level you're at."
"Write a poem","Write a poem. It can be about anything. Just get writing. Don't spend too much time thinking about this one. The point is to write and use your language."
"Study using Readlang","Readlang is a service that allows you to read longer texts, look up words and test yourself on the new words you learnt while reading. (If you don't already have an account, take a few minutes to get set up). Pick a text (either an article you found online, or use the service's own library to suggest a text)."
"Learn about a well-known figure","Research the biography of a well-known figure from the culture or history of the country/people who speak your target language. Use original-language materials. Get the outline of their life story. Start with local-language wikipedia."
"Write a paragraph of text (last-letter edition)","Write a paragraph of text in which the last letter of the previous word determines the first letter of the next word. This is harder than it sounds. Try not to think too much, though, and keep writing."
"Read something written over 100 years ago","Find something written in your target language that was written over 100 years ago. Notice how the language is different from the kinds of things you read online. Notice any similarities. Enjoy this mental time-travel experience!"
"Read something written over 1000 years ago","If your language is old enough, find something written in your target language that was written over 1000 years ago. Notice how the language is different from the kinds of things you read online. Notice any similarities. Enjoy this mental time-travel experience!"
"Talk to fellow language learner","Find a friend studying the same language as you, someone at a similar competency level. Have a conversation with them."
"Email a friend","Send an email to a friend who speaks your target language. Tell them what you're up to, what you've been studying, or anything else you'd like!"
"Read a news article","Read through as much of a news article as is possible in 30 minutes. Either visit BBC News' local-language edition or another website published using your target language. If you finish before the time is over, start a new article."
"Write a summary of an article you read recently","Begin by explaining the overall gist of the article, then get into the specifics of how the piece argued its message. Try to use some of the same vocabulary or phrases that were used in the original article. Don't think too much about this; keep writing. Keep communicating."
"Listen to part of a podcast episode","If you don't use a podcast player, maybe spend the time setting this up. Once that's done, do a search online for ""[your language] podcasts"" and pick a few podcasts that interest you. Subscribe to them using your podcast player, and listen to 30 minutes of an episode. Your player will keep your place in the podcast for when you next listen, so don't worry if the 30 minutes finishes before the end of the episode."
"Summarise the last film you saw","Do this in writing or out loud. Describe the plot. Explain whether you liked the film or not. Explain why. BONUS: Record your summary/review and post it to YouTube. Or if you wrote it down, post it to Lang-8."
"Summarise the last book you read","Do this in writing or out loud. Describe the plot. Explain whether you liked the book or not. Explain why. BONUS: Record your summary/review and post it to YouTube. Or if you wrote it down, post it to Lang-8."
"Translate a text","Take 30 minutes to translate something you read recently. A partial translation is fine. Post your translation somewhere online with a link to the original source text when the 10 minutes are up. BONUS: Consider having a dedicated blog or tumblr where you can post your translations as you do them. This way you'll have a log of your study progress."
"Record a conversation with a friend","Talk about anything you'd like, but don't use anything other than your target language. Once the time is up, post the conversation online to Youtube or Soundcloud. BONUS: Consider doing this more regularly and you'll have your own podcast."
"Write a guide to the city where you live","Write a guide to the city where you live to a visitor from the country where your target language is spoken. List the best places to visit for tourism, the best places to shop and what else someone should do in town. BONUS: Post this to lang-8, and/or record the passage and post that audio recording to Soundcloud."
"Practice some recently-learned words","Write some sentences using words that you learned only recently. Post these practice sentences to Lang-8 to make sure that you're using the words in the right way / context."
"Go for a short walk","Walk around the block or walk around the area where you're studying/based. As you walk, have an inner monologue in which you describe everything you see around you. Keep talking to yourself; don't use English. When you get back, make a note of the words you were unable to recall."
"Watch a news report","Search YouTube for a news report or short film about any topic that interests you. Make sure it is in your target language and that it lasts roughly 20-30 minutes. Watch the video. BONUS: Write a short summary of the contents of this film."
"Research a topic that interests you","Use only sources in your target language. Read a variety of sources. Start to figure out the outlines of that topic."
"Summarise something you learnt recently","Pick something you learnt or researched recently. Summarise the important points about that topic or issue. Summarise the main sources you used to come to these conclusions. BONUS: Post your summary to Lang-8 or your blog for feedback."
"Think about conversation topics","Visit iteslj.org/questions/ and pick a topic. Look at the questions. Imagine you had to answer the questions in your target language. What vocabulary would you need to know to be able to answer those questions? Make a note of these missing words. Start practicing some of the answers to the questions."
"Teach something","Think of something you know, but a friend doesn't know. Take thirty minutes to teach that topic or skill to your friend, using only your target language."
"Teach something online","Think of something you know. Record a video to YouTube in which you teach that topic or skill, using only your target language. Don't think about this too much. Take a few minutes to sketch out a rough structure and then just get talking."
"Write 200 words","Write about what you did during the past 12 months. BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Write 200 words","Write about what you want to do during the coming 12 months. BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Write 200 words","Write about what you consider to be the qualities possessed by a good leader. BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Write 200 words","Describe earth and human society to a visiting alien. BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Write 200 words","Write an essay with the title ""things only a local would know."" BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Write 200 words","Describe life in the town where you live from the perspective of a dog. BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Write 200 words","Describe life in the town where you live from the perspective of a cat. BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Write 200 words","Describe life in the town where you live from the perspective of a spider. BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Write 200 words","Write an essay that begins, ""If I were the president of my country..."" BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Write 200 words","Write an essay that begins, ""If I could travel through time..."" BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
